epoch,train_mse,val_mse,val_psnr,val_ssim,noisy_mse,noisy_psnr,noisy_ssim,train_phase_time_sec,validation_time_sec,epoch_time_sec,total_time_sec,train_images_per_sec,validation_images_per_sec,val_lambda_mean,val_lambda_std,val_lambda_min,val_lambda_max,val_lambda_p01,val_lambda_median,val_lambda_p99,val_lambda_lower_saturation_fraction,val_lambda_upper_saturation_fraction
1,0.0012294939124112717,0.0011330736923264339,29.9704825592041,0.7949055111408234,0.009698207005858422,20.136563453674317,0.32226710945367815,91.89354470884427,5.571485667023808,97.46618362469599,97.4663683748804,5.441078604424296,8.97426700672267,2.964202332496643,0.06834557726979255,2.266022205352783,3.129760503768921,2.5072176933288572,2.971203079223633,3.0395728588104247,0.0,0.0
2,0.001162132039313292,0.0011285168339964001,29.994807624816893,0.7964328408241272,0.009698207005858422,20.136563453674317,0.32226710945367815,87.62147404067218,5.210640375036746,92.83251741575077,190.43633879208937,5.706363713624696,9.595749543480515,3.003299927711487,0.11715197220444679,2.2742817401885986,3.354684591293335,2.5487798690795898,3.0101934099197387,3.2264830446243287,0.0,0.0
3,0.0011664950090780621,0.0011183295253431424,30.027273864746093,0.7964850795269013,0.009698207005858422,20.136563453674317,0.32226710945367815,86.54241474997252,5.237099875230342,91.77988920779899,282.32580087473616,5.777513851959611,9.547268753930506,2.95740168094635,0.2688800708949566,2.213118076324463,3.969539165496826,2.4173952770233154,2.9471823167800903,3.599266834259033,0.0,0.0
4,0.0011405290117836558,0.0011317403183784336,30.004077491760253,0.7975647938251496,0.009698207005858422,20.136563453674317,0.32226710945367815,87.6940608327277,5.302510665729642,92.99712912505493,375.4214417920448,5.701640399042833,9.429495413022398,3.179346146583557,0.5508474189043046,2.045902967453003,5.321956157684326,2.221760768890381,3.1348476791381836,4.524510674476623,0.0,0.0
5,0.0010867899721088178,0.0011166036053327844,29.88995018005371,0.7721484458446503,0.009698207005858422,20.136563453674317,0.32226710945367815,86.07675812486559,5.27891741739586,91.35605479218066,466.8303402499296,5.808768951017935,9.471638983256812,2.072997374534607,0.4140928164124489,1.126466155052185,4.229666233062744,1.4512495756149293,2.0081863141059877,3.240810651779175,0.0,0.0
6,0.001039921794708789,0.0010935527729452588,30.15682315826416,0.8009006571769715,0.009698207005858422,20.136563453674317,0.32226710945367815,84.42411458399147,5.2345517091453075,89.65902199968696,556.5404890840873,5.92247845848075,9.551916339396321,3.5505249905586242,1.0391611564159393,0.6464315056800842,7.092573165893555,1.4992661130428315,3.5981713819503782,5.889755301475525,0.0,0.0
7,0.001000768045108998,0.000900895509403199,30.961537284851076,0.8371228766441345,0.009698207005858422,20.136563453674317,0.32226710945367815,86.33214891608804,5.228754499927163,91.56178074982017,648.2000299589708,5.791585246951089,9.562506711817605,5.274167776107788,2.075897480249405,0.012854824773967266,8.245217323303223,0.6507600766420364,6.039925949573517,7.771836042404175,0.00047088623046875,3.96728515625e-06
8,0.0008918088701902889,0.0008789017252274788,31.034374351501466,0.8380806171894073,0.009698207005858422,20.136563453674317,0.32226710945367815,86.2416440830566,5.274662749841809,91.51676025008783,739.8335369587876,5.797663128018128,9.479279030967342,4.524205505847931,2.0757233822345733,0.015184188261628151,8.177916526794434,0.6234288404881955,4.967064092159271,7.492871608734131,0.000423583984375,0.0
9,0.0008225089609586576,0.0008550798901706002,31.170187225341795,0.8443496036529541,0.009698207005858422,20.136563453674317,0.32226710945367815,86.36213920777664,5.233181791845709,91.5961793330498,831.5317954588681,5.789574049307206,9.554416794369631,5.10413818359375,2.5532919144630433,0.012297863140702248,8.316681861877441,0.6437841390073299,5.488656096458435,8.263370628356933,0.0007257080078125,0.128076171875
10,0.0008231323248364788,0.0008413874733378179,31.25064785003662,0.8464974331855774,0.009698207005858422,20.136563453674317,0.32226710945367815,86.51371391676366,5.289432207588106,91.80355416703969,923.4335116669536,5.779430536077305,9.452810441217315,5.8173810338974,2.600012160539627,0.03676728531718254,8.320318222045898,0.7863367548584939,6.73421338558197,8.320006313323974,0.0001129150390625,0.3821026611328125
11,0.0008612304058624432,0.0008932926901616156,31.009840393066405,0.8362854743003845,0.009698207005858422,20.136563453674317,0.32226710945367815,86.11569650005549,5.154445209074765,91.27069416595623,1014.8129991251044,5.806142437687627,9.700365019298578,6.874408655166626,2.2272406770288944,0.04780451953411102,8.320335388183594,1.2334717637300492,8.02024010658264,8.320335388183594,3.7841796875e-05,0.626981201171875
12,0.0007832978843944148,0.000818359917611815,31.34915153503418,0.8499944984912873,0.009698207005858422,20.136563453674317,0.32226710945367815,86.7982002501376,5.2832127921283245,92.081796457991,1106.9451366667636,5.760488104120654,9.4639383207311,5.577936215400696,2.613202443122864,0.014866529032588005,8.320335388183594,0.6601254240423441,6.210488839149475,8.320268440246583,0.0005279541015625,0.35775909423828123
13,0.0007606773338811764,0.0008052518690237775,31.41842960357666,0.8533383810520172,0.009698207005858422,20.136563453674317,0.32226710945367815,87.78144908323884,5.258804957848042,93.0412119999528,1200.0983674167655,5.69596429794494,9.507863554700176,5.528925409317017,2.6405866289138795,0.025378471240401268,8.320335388183594,0.714988971054554,6.099400818347931,8.32032735824585,0.00026153564453125,0.39390625
14,0.0008575776241823405,0.000803133254230488,31.42810329437256,0.8537241566181183,0.009698207005858422,20.136563453674317,0.32226710945367815,86.40320233255625,5.288459457922727,91.6920619579032,1291.8991950419731,5.786822554047893,9.454549174068866,5.476721177101135,2.6759346413612364,0.0167667455971241,8.320335388183594,0.6321415200829505,6.041334080696106,8.320334377288818,0.0005517578125,0.3942022705078125
15,0.0007880239322530543,0.0008191744846408255,31.35254970550537,0.8484735214710235,0.009698207005858422,20.136563453674317,0.32226710945367815,87.46548033272848,5.202810833696276,92.66869741678238,1384.6891425000504,5.716540949617427,9.610189875859485,6.169086194038391,2.5055682480335237,0.04255663603544235,8.320335388183594,0.8488366547226905,7.22619854927063,8.320335350036622,4.852294921875e-05,0.4887445068359375
16,0.0007399773203478617,0.0008272860231227241,31.29816219329834,0.8451730644702912,0.009698207005858422,20.136563453674317,0.32226710945367815,86.85465449979529,5.239060124848038,92.09450791683048,1476.835696166847,5.756743871466076,9.54369654260272,5.553069415092469,2.4598590464890004,0.01442702766507864,8.320335388183594,0.810294182896614,6.119549069404602,8.318801193237304,0.00069915771484375,0.4038128662109375
17,0.0007731382012316317,0.0008035626396303996,31.410025939941406,0.8555810844898224,0.009698207005858422,20.136563453674317,0.32226710945367815,86.91662024985999,5.167695875279605,92.0846770410426,1568.9798677498475,5.752639697248299,9.67549198070691,4.988517870903015,2.766899561882019,0.012379076331853867,8.320335388183594,0.49899224601686,5.03846155166626,8.320125637054444,0.00066802978515625,0.353739013671875
18,0.0007821483559278022,0.0007873098028358072,31.504164543151855,0.8564202380180359,0.009698207005858422,20.136563453674317,0.32226710945367815,87.73963645799085,5.255907292012125,92.99591470789164,1662.0337942088954,5.698678729303792,9.513105392096525,5.531660742759705,2.7072626268863678,0.019829515367746353,8.320335388183594,0.5761842925846576,6.1483056092262265,8.320335388183594,0.000460205078125,0.43676727294921874
19,0.0007515214174145513,0.000788127338164486,31.497168884277343,0.8567077207565308,0.009698207005858422,20.136563453674317,0.32226710945367815,78.63902741717175,4.6192292496562,83.25858683418483,1745.4202135838568,6.358166122115839,10.824316633282791,5.5364429378509525,2.790563300848007,0.01956392265856266,8.320335388183594,0.5562194553017616,6.259170002937317,8.320335388183594,0.000286865234375,0.4564385986328125
20,0.0007958180260538939,0.000801516049541533,31.443588676452638,0.8507681143283844,0.009698207005858422,20.136563453674317,0.32226710945367815,75.88810158381239,4.992038291878998,80.88047854183242,1826.3501678747125,6.588648148587426,10.015948812199525,6.115006399154663,2.4279033839702606,0.018754035234451294,8.320335388183594,0.8756760011613369,7.027733201980591,8.320335388183594,0.00016510009765625,0.47978118896484373
