image_index,path,fixed_cg_iters,converged_cg_iters,converged,fixed_relative_residual,relative_solution_difference,fixed_psnr,converged_psnr,fixed_ssim,converged_ssim,lambda_min,lambda_mean,lambda_max
0,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t347/sAQhksmfXN.JPG,64,144,False,0.0003004096506629139,5.779568527941592e-05,30.717151641845703,30.716949462890625,0.8908336162567139,0.8908334970474243,0.05851399153470993,11.936286926269531,31.63970184326172
1,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t051/PAqcAkuplA.JPG,64,141,False,0.0002252944395877421,4.2029911128338426e-05,26.007179260253906,26.007183074951172,0.7427470684051514,0.7427444458007812,0.12848956882953644,3.450725555419922,31.28955078125
2,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t165/HjqZSQtkDW.JPG,64,95,False,4.806871856999351e-06,6.157759457892098e-07,28.89162826538086,28.89162826538086,0.8512070775032043,0.8512117266654968,0.09013913571834564,3.1322689056396484,16.266206741333008
3,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t189/ebTjHOhdnH.JPG,64,114,False,1.9453491404419765e-05,3.7872403026995016e-06,32.802040100097656,32.8020133972168,0.8529156446456909,0.8529132008552551,0.23544524610042572,4.859086990356445,25.518938064575195
4,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t459/lGXEBmbCRI.jpeg,64,142,False,0.00022412830730900168,4.13460802519694e-05,29.917306900024414,29.917173385620117,0.844323992729187,0.8443168997764587,0.20357798039913177,6.704931259155273,31.625154495239258
5,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t323/SrMzgvHTJX.JPG,64,131,False,0.00010539304639678448,2.067456443910487e-05,28.736419677734375,28.73630142211914,0.8462516665458679,0.8462547063827515,0.024996427819132805,6.268507957458496,28.580448150634766
6,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t434/yKRuxptkwk.jpg,64,143,False,0.00023365866218227893,4.318080755183473e-05,30.7377986907959,30.737695693969727,0.8358069062232971,0.8358166217803955,0.09981502592563629,8.16319751739502,32.23050308227539
7,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t204/QLJgoxHUJa.JPG,64,144,False,0.0002457824593875557,4.491230720304884e-05,30.92876625061035,30.928499221801758,0.8811123967170715,0.8811119198799133,0.15726971626281738,7.7703857421875,32.414039611816406
8,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t204/CTQsNDiiFA.JPG,64,107,False,1.1045669452869333e-05,2.1737364477303345e-06,30.51192283630371,30.511905670166016,0.8606969118118286,0.8606600165367126,0.17958706617355347,3.6382570266723633,21.169879913330078
9,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t004/DJCSPZOvwy.JPG,64,111,False,1.812498885556124e-05,3.62067930836929e-06,30.771522521972656,30.771520614624023,0.8599003553390503,0.85990309715271,0.2767857611179352,3.3426151275634766,23.679994583129883
