method,image_index,path,fixed_cg_iters,converged_cg_iters,converged,fixed_relative_residual,relative_solution_difference,fixed_psnr,converged_psnr,fixed_ssim,converged_ssim,lambda_min,lambda_mean,lambda_max
U-Tikhonov x4 CG64,0,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t347/sAQhksmfXN.JPG,64,75,False,5.061277533968678e-06,6.06914651868351e-09,30.70218276977539,30.70218276977539,0.8829470276832581,0.8829463124275208,0.06954197585582733,6.646873474121094,8.320335388183594
U-Tikhonov x4 CG64,1,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t051/PAqcAkuplA.JPG,64,74,False,3.3595608783798525e-06,2.106993024497683e-09,25.908594131469727,25.908594131469727,0.7292868494987488,0.7292869091033936,0.1612977385520935,3.3279976844787598,8.320335388183594
U-Tikhonov x4 CG64,2,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t165/HjqZSQtkDW.JPG,64,72,False,4.515688488027081e-06,6.240792327361078e-09,29.004383087158203,29.004383087158203,0.8569310903549194,0.8569328784942627,0.12547865509986877,4.321805000305176,8.320335388183594
U-Tikhonov x4 CG64,3,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t189/ebTjHOhdnH.JPG,64,70,False,5.7819556786853354e-06,4.88939067011529e-09,33.19898223876953,33.19898223876953,0.8757285475730896,0.8757387399673462,0.2444472312927246,6.986865043640137,8.320335388183594
U-Tikhonov x4 CG64,4,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t459/lGXEBmbCRI.jpeg,64,73,False,4.4254225031181704e-06,3.0245768112280302e-09,29.876007080078125,29.876007080078125,0.8356965184211731,0.8356966972351074,0.2699468731880188,5.196944713592529,8.320335388183594
U-Tikhonov x4 CG64,5,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t323/SrMzgvHTJX.JPG,64,74,False,2.5375384211656637e-06,3.780921353779831e-09,28.730985641479492,28.730985641479492,0.8411166667938232,0.8411157131195068,0.029401129111647606,5.607067584991455,8.320335388183594
U-Tikhonov x4 CG64,6,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t434/yKRuxptkwk.jpg,64,73,False,5.369895461626584e-06,1.2579763897235807e-09,30.656347274780273,30.656347274780273,0.8287739753723145,0.8287738561630249,0.1226348802447319,6.242891788482666,8.320335388183594
U-Tikhonov x4 CG64,7,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t204/QLJgoxHUJa.JPG,64,73,False,4.689087745646248e-06,2.3120272363286176e-09,30.927331924438477,30.927331924438477,0.8755549192428589,0.8755549192428589,0.20658527314662933,5.787326812744141,8.320335388183594
U-Tikhonov x4 CG64,8,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t204/CTQsNDiiFA.JPG,64,71,False,4.0233721847471315e-06,6.417018472149039e-09,30.68889617919922,30.68889617919922,0.8744987845420837,0.8744973540306091,0.18632175028324127,4.815705299377441,8.320335388183594
U-Tikhonov x4 CG64,9,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t004/DJCSPZOvwy.JPG,64,72,False,4.881863787886687e-06,1.5446515178041409e-09,30.94647979736328,30.94647979736328,0.8669586181640625,0.8669586777687073,0.3367062211036682,4.547353267669678,8.320335388183594
