sigma,method,images,mse_mean,mse_std,psnr_mean,psnr_std,ssim_mean,ssim_std
0.05,U-TGV,100,0.0010220999797456,0.0004799410947729,30.333345623016356,1.963378126257984,0.9266445744037628,0.040154262439454
0.05,U-TV,100,0.0011924988380633,0.000587404500555,29.71222885131836,2.0713184055586766,0.9151938378810882,0.0448107807566667
0.05,U-Tikhonov x16 CG32,100,0.0012511980810086,0.0007897567118389,29.57296909332275,2.1038315697080283,0.91699882209301,0.0436108041932904
0.1,U-TGV,100,0.0023100062267621,0.0009938536553588,26.75584213256836,1.8959958862427209,0.8529280680418014,0.0632597705303376
0.1,U-TV,100,0.0027043244143715,0.0013063280185465,26.13893531799316,2.0300561953359626,0.8318984806537628,0.0715656337839019
0.1,U-Tikhonov x16 CG32,100,0.0026306952367303,0.0015490973323497,26.311533718109132,2.065316279878253,0.845055501461029,0.0655008988612818
0.15,U-TGV,100,0.0037580600462388,0.0016450630008299,24.63280086517334,1.8454891624346987,0.7768849593400955,0.0787772477048801
0.15,U-TV,100,0.0042888615641277,0.0022019778490921,24.1342466545105,1.9803939423095236,0.7584702670574188,0.0874490651003768
0.15,U-Tikhonov x16 CG32,100,0.0039808453037403,0.002263773323507,24.47615348815918,1.9783034014866456,0.7843566501140594,0.078221762156316
0.2,U-TGV,100,0.0052989621588494,0.002321998537487,23.11748378753662,1.767762471568558,0.7098060956597328,0.0856294446782627
0.2,U-TV,100,0.0059574748016893,0.0030867755907508,22.687421894073488,1.9182825400734669,0.6934526404738426,0.099244596741574
0.2,U-Tikhonov x16 CG32,100,0.0053897453728131,0.0028437124569535,23.111095199584963,1.879499093095789,0.7313240942358971,0.0855070975186522
