sigma,metric,method,count
0.05,PSNR,U-TV,2
0.05,PSNR,U-TGV,97
0.05,PSNR,U-Tikhonov x16 CG32,1
0.05,SSIM,U-TV,7
0.05,SSIM,U-TGV,81
0.05,SSIM,U-Tikhonov x16 CG32,12
0.1,PSNR,U-TV,0
0.1,PSNR,U-TGV,94
0.1,PSNR,U-Tikhonov x16 CG32,6
0.1,SSIM,U-TV,3
0.1,SSIM,U-TGV,79
0.1,SSIM,U-Tikhonov x16 CG32,18
0.15,PSNR,U-TV,0
0.15,PSNR,U-TGV,69
0.15,PSNR,U-Tikhonov x16 CG32,31
0.15,SSIM,U-TV,2
0.15,SSIM,U-TGV,35
0.15,SSIM,U-Tikhonov x16 CG32,63
0.2,PSNR,U-TV,0
0.2,PSNR,U-TGV,48
0.2,PSNR,U-Tikhonov x16 CG32,52
0.2,SSIM,U-TV,3
0.2,SSIM,U-TGV,19
0.2,SSIM,U-Tikhonov x16 CG32,78
