benchmark_group,sigma,first_method,second_method,difference,metric,images,mean_difference,std_difference,median_difference,ci95_low,ci95_high,wins,ties,losses,win_percentage
div2k,0.05,U-Tikhonov x16 CG32,U-TV,U-Tikhonov x16 CG32 - U-TV,PSNR,100,-0.1392597579956054,0.5269323324596493,-0.1149673461914062,-0.2488349347114563,-0.0446384968757629,40,0,60,40.0
div2k,0.05,U-Tikhonov x16 CG32,U-TV,U-Tikhonov x16 CG32 - U-TV,SSIM,100,0.0018049842119216,0.0114306248351809,0.0018233060836791,-0.0005191068202257,0.0039065314978361,59,0,41,59.0
div2k,0.05,U-Tikhonov x16 CG32,U-TGV,U-Tikhonov x16 CG32 - U-TGV,PSNR,100,-0.7603765296936035,0.5284544434361248,-0.6801366806030273,-0.871295205593109,-0.6683116064071656,1,0,99,1.0
div2k,0.05,U-Tikhonov x16 CG32,U-TGV,U-Tikhonov x16 CG32 - U-TGV,SSIM,100,-0.0096457523107528,0.0115279136363301,-0.008834958076477,-0.0120420240163803,-0.0074909073710441,15,0,85,15.0
div2k,0.1,U-Tikhonov x16 CG32,U-TV,U-Tikhonov x16 CG32 - U-TV,PSNR,100,0.1725984001159668,0.3304078227185111,0.2083253860473632,0.1037627973556518,0.2327162208557129,73,0,27,73.0
div2k,0.1,U-Tikhonov x16 CG32,U-TV,U-Tikhonov x16 CG32 - U-TV,SSIM,100,0.0131570208072662,0.0177114490088518,0.0116464495658874,0.009485160946846,0.0164161004722118,93,0,7,93.0
div2k,0.1,U-Tikhonov x16 CG32,U-TGV,U-Tikhonov x16 CG32 - U-TGV,PSNR,100,-0.4443084144592285,0.4419878728689722,-0.3903026580810547,-0.5399272389411927,-0.3685589904785156,6,0,94,6.0
div2k,0.1,U-Tikhonov x16 CG32,U-TGV,U-Tikhonov x16 CG32 - U-TGV,SSIM,100,-0.0078725665807724,0.0205761056104571,-0.008721500635147,-0.0122561302185058,-0.0041408777832984,21,0,79,21.0
div2k,0.15,U-Tikhonov x16 CG32,U-TV,U-Tikhonov x16 CG32 - U-TV,PSNR,100,0.3419068336486816,0.2076698816669135,0.3504209518432617,0.2999763865470886,0.3817715210914612,98,0,2,98.0
div2k,0.15,U-Tikhonov x16 CG32,U-TV,U-Tikhonov x16 CG32 - U-TV,SSIM,100,0.0258863830566406,0.0206463431405041,0.0223304033279418,0.0217353542298078,0.0298186817318201,96,0,4,96.0
div2k,0.15,U-Tikhonov x16 CG32,U-TGV,U-Tikhonov x16 CG32 - U-TGV,PSNR,100,-0.1566473770141601,0.3778827707061517,-0.1312036514282226,-0.2360915393829345,-0.0901959595680236,31,0,69,31.0
div2k,0.15,U-Tikhonov x16 CG32,U-TGV,U-Tikhonov x16 CG32 - U-TGV,SSIM,100,0.0074716907739639,0.0293550964252684,0.0056084692478179,0.0011857120990753,0.01275376047194,65,0,35,65.0
div2k,0.2,U-Tikhonov x16 CG32,U-TV,U-Tikhonov x16 CG32 - U-TV,PSNR,100,0.4236733055114746,0.1567951262563109,0.4249210357666015,0.392699592590332,0.455131353855133,100,0,0,100.0
div2k,0.2,U-Tikhonov x16 CG32,U-TV,U-Tikhonov x16 CG32 - U-TV,SSIM,100,0.0378714537620544,0.0237133609489541,0.035095989704132,0.0332094909474253,0.0425392823591828,96,0,4,96.0
div2k,0.2,U-Tikhonov x16 CG32,U-TGV,U-Tikhonov x16 CG32 - U-TGV,PSNR,100,-0.0063885879516601,0.2964858366773806,0.0031347274780273,-0.0666546401977539,0.0483939471244811,52,0,48,52.0
div2k,0.2,U-Tikhonov x16 CG32,U-TGV,U-Tikhonov x16 CG32 - U-TGV,SSIM,100,0.0215179985761642,0.0328943993641568,0.0177122801542282,0.0147076143696904,0.027682596117258,81,0,19,81.0
