sigma,method,images,psnr_mean,psnr_std,ssim_mean,ssim_std
0.05,U-Tikhonov x16 CG32,100,29.57296909332275,2.1038315697080283,0.91699882209301,0.0436108041932904
0.05,U-Tikhonov x16 CG64,100,29.518835182189942,1.9963270272257625,0.9157840245962144,0.042939074050674
0.05,U-Tikhonov x4 CG32,100,29.591157913208008,1.9257304577087229,0.9179464167356493,0.0433452907842408
0.05,U-Tikhonov x4 CG64,100,29.674846382141112,1.926626648171924,0.919214237332344,0.0406862947294213
0.1,U-Tikhonov x16 CG32,100,26.311533718109132,2.065316279878253,0.845055501461029,0.0655008988612818
0.1,U-Tikhonov x16 CG64,100,26.21772430419922,2.066564728552552,0.8430409532785416,0.0658974436164765
0.1,U-Tikhonov x4 CG32,100,26.250980186462403,1.9955003204381796,0.8442952048778534,0.0627317581392074
0.1,U-Tikhonov x4 CG64,100,26.262650718688963,2.038659200836455,0.8408995032310486,0.0652571771627441
0.15,U-Tikhonov x16 CG32,100,24.47615348815918,1.9783034014866456,0.7843566501140594,0.078221762156316
0.15,U-Tikhonov x16 CG64,100,24.391611137390136,1.996853078050876,0.7804393762350083,0.0797872339521858
0.15,U-Tikhonov x4 CG32,100,24.404288330078124,1.9421719678966851,0.7778156867623329,0.073874622435507
0.15,U-Tikhonov x4 CG64,100,24.35672067642212,1.984275581261832,0.7697516044974327,0.0780930631568609
0.2,U-Tikhonov x16 CG32,100,23.111095199584963,1.879499093095789,0.7313240942358971,0.0855070975186522
0.2,U-Tikhonov x16 CG64,100,23.040518827438355,1.9006347819941751,0.7257532253861427,0.0888295400771966
0.2,U-Tikhonov x4 CG32,100,23.03979413986206,1.8516131156358864,0.7186479035019875,0.080188124657523
0.2,U-Tikhonov x4 CG64,100,22.96601833343506,1.8887617305628224,0.7076382800936699,0.084873323000008
