lambda,mse,psnr,ssim,avg_cg_iters,min_cg_iters,max_cg_iters,mean_final_rel_residual,avg_runtime_sec
3.0,0.0011315122025553138,29.98080165863037,0.7955438470840455,31.82,30,33,2.1574014317593537e-06,0.1013600976485759
1.0,0.0013019061903469264,28.95733028411865,0.7002387952804565,18.3,17,19,8.995333098482661e-07,0.05869259426370263
0.3,0.002781451428309083,25.561629524230955,0.5306230896711349,10.08,10,11,6.189037048898171e-07,0.03648797078058123
0.1,0.005326448744162917,22.738532104492187,0.4149168568849564,6.0,6,6,5.522858623407956e-07,0.023026153342798353
0.03,0.007812694925814868,21.07531921386719,0.35415912061929705,4.0,4,4,1.8079136907545034e-07,0.017631144914776086
0.01,0.008981042690575123,20.470164604187012,0.33339968204498294,3.0,3,3,7.81442486186279e-08,0.013670609975233674
0.003,0.0094719204492867,20.239084510803224,0.3256644827127457,2.0,2,2,9.494435005308332e-08,0.010702459970489145
0.001,0.009621648155152797,20.170979194641113,0.3234052217006683,1.96,1,2,8.583518813054524e-08,0.010453806677833199
0.0003,0.009675121586769819,20.146912612915038,0.32260903298854826,1.0,1,1,1.6178612924022673e-07,0.0073752783052623274
0.0001,0.009690499268472194,20.14001605987549,0.3223812159895897,1.0,1,1,4.6588506350531134e-08,0.009927960066124796
