lambda,mse,psnr,ssim,avg_cg_iters,min_cg_iters,max_cg_iters,mean_final_rel_residual,avg_runtime_sec
2.080083823051904,0.0011026597610907629,29.93283176422119,0.7754274845123291,26.44,25,28,1.5113576205294522e-06,0.08118622425012291
2.2795070569547775,0.001103303128038533,29.970344581604003,0.781611465215683,27.54,26,29,1.6718160145501315e-06,0.084473033323884
1.898107179673479,0.001106880777515471,29.87703330993652,0.7684749221801758,25.28,24,26,1.393103518694261e-06,0.07750841749832034
2.498049532966813,0.001108509698533453,29.990267715454102,0.7870218074321746,29.12,28,30,1.7816198510445246e-06,0.08934538506902755
1.7320508075688774,0.001116287959739566,29.802424964904784,0.7607653141021729,24.14,23,25,1.2936152597831097e-06,0.07500947826541961
2.737544264281482,0.0011179991718381643,29.99343822479248,0.7916625988483429,30.42,29,32,1.9564176682251856e-06,0.09270044172182679
1.5805219179014294,0.0011312227812595665,29.7086780166626,0.7523181235790253,23.02,22,24,1.2131767152823159e-06,0.07131419003941118
3.0,0.0011315122025553138,29.98080165863037,0.7955438470840455,31.82,30,33,2.1574014317593537e-06,0.09727134498767555
1.4422495703074083,0.0011520450306124986,29.595682373046873,0.7431604278087616,21.96,21,23,1.1415389121793852e-06,0.06826662587001919
1.3160740129524926,0.001179130687378347,29.46356372833252,0.7333260440826416,20.96,20,22,1.0772033851935703e-06,0.06719977915287018
1.2009369551760027,0.0012128691910766065,29.31268871307373,0.7228611898422241,20.0,19,21,1.022572436113478e-06,0.061331192478537556
1.0958726911352443,0.0012536596274003386,29.143664283752443,0.7118120157718658,19.14,18,20,9.565033599301386e-07,0.05916623747907579
1.0,0.0013019061903469264,28.95733028411865,0.7002387952804565,18.3,17,19,8.995333098482661e-07,0.05946668335236609
