sigma,metric,method,images,exclusive_best_count,tied_best_count,best_or_tied_count,exclusive_best_percentage
0.05,PSNR,U-Tikhonov T4/CG32,100,18,0,18,18.0
0.05,PSNR,U-Tikhonov T4/CG64,100,17,0,17,17.0
0.05,PSNR,U-Tikhonov T16/CG32,100,62,0,62,62.0
0.05,PSNR,U-Tikhonov T16/CG64,100,3,0,3,3.0
0.05,SSIM,U-Tikhonov T4/CG32,100,21,0,21,21.0
0.05,SSIM,U-Tikhonov T4/CG64,100,33,0,33,33.0
0.05,SSIM,U-Tikhonov T16/CG32,100,43,0,43,43.0
0.05,SSIM,U-Tikhonov T16/CG64,100,3,0,3,3.0
0.1,PSNR,U-Tikhonov T4/CG32,100,13,0,13,13.0
0.1,PSNR,U-Tikhonov T4/CG64,100,3,0,3,3.0
0.1,PSNR,U-Tikhonov T16/CG32,100,82,0,82,82.0
0.1,PSNR,U-Tikhonov T16/CG64,100,2,0,2,2.0
0.1,SSIM,U-Tikhonov T4/CG32,100,26,0,26,26.0
0.1,SSIM,U-Tikhonov T4/CG64,100,7,0,7,7.000000000000001
0.1,SSIM,U-Tikhonov T16/CG32,100,65,0,65,65.0
0.1,SSIM,U-Tikhonov T16/CG64,100,2,0,2,2.0
0.15,PSNR,U-Tikhonov T4/CG32,100,19,0,19,19.0
0.15,PSNR,U-Tikhonov T4/CG64,100,1,0,1,1.0
0.15,PSNR,U-Tikhonov T16/CG32,100,79,0,79,79.0
0.15,PSNR,U-Tikhonov T16/CG64,100,1,0,1,1.0
0.15,SSIM,U-Tikhonov T4/CG32,100,32,0,32,32.0
0.15,SSIM,U-Tikhonov T4/CG64,100,1,0,1,1.0
0.15,SSIM,U-Tikhonov T16/CG32,100,63,0,63,63.0
0.15,SSIM,U-Tikhonov T16/CG64,100,4,0,4,4.0
0.2,PSNR,U-Tikhonov T4/CG32,100,17,0,17,17.0
0.2,PSNR,U-Tikhonov T4/CG64,100,1,0,1,1.0
0.2,PSNR,U-Tikhonov T16/CG32,100,78,0,78,78.0
0.2,PSNR,U-Tikhonov T16/CG64,100,4,0,4,4.0
0.2,SSIM,U-Tikhonov T4/CG32,100,31,0,31,31.0
0.2,SSIM,U-Tikhonov T4/CG64,100,0,0,0,0.0
0.2,SSIM,U-Tikhonov T16/CG32,100,63,0,63,63.0
0.2,SSIM,U-Tikhonov T16/CG64,100,6,0,6,6.0
