benchmark_group,sigma,metric,interaction_mean,interaction_std,ci95_low,ci95_high,images
div2k,0.05,PSNR,-0.16092254638671874,0.19869735899167223,-0.2012534990310669,-0.1238166937828064,100
div2k,0.05,SSIM,-0.002785530686378479,0.0032476924568139837,-0.00345614966750145,-0.0021986498683691028,100
div2k,0.1,PSNR,-0.0898373031616211,0.11260983330214759,-0.11151846361160278,-0.06753653049468995,100
div2k,0.1,SSIM,-0.002813693881034851,0.003106896888857247,-0.003430006772279739,-0.002232372492551804,100
div2k,0.15,PSNR,-0.04779478073120117,0.08079344230551791,-0.06337891578674316,-0.03188393020629883,100
div2k,0.15,SSIM,-0.0011681586503982544,0.00371662287616648,-0.0018866754174232483,-0.000447080194950104,100
div2k,0.2,PSNR,-0.031608257293701175,0.06329718229294325,-0.04395051002502442,-0.01963001346588135,100
div2k,0.2,SSIM,-0.00041542857885360716,0.004754993888336472,-0.0013391466289758682,0.0005210146307945245,100
geometry,0.05,PSNR,0.6292678833007812,0.24539998888341177,0.40777053833007815,0.7504653930664062,5
geometry,0.05,SSIM,0.00028336048126220703,0.00042627001918287265,-6.200075149536133e-05,0.0006203889846801758,5
geometry,0.1,PSNR,0.337152099609375,0.6456389050749006,-0.208221435546875,0.7821662902832032,5
geometry,0.1,SSIM,-0.0030075669288635253,0.0021887132756220297,-0.004510056972503662,-0.00120089054107666,5
geometry,0.15,PSNR,0.12232742309570313,0.5623206061590396,-0.37051849365234374,0.49578018188476564,5
geometry,0.15,SSIM,-0.006509101390838623,0.0032019847739899847,-0.008641982078552246,-0.003802847862243652,5
geometry,0.2,PSNR,0.059768295288085936,0.3506334091972299,-0.22675704956054688,0.30301895141601565,5
geometry,0.2,SSIM,-0.008469748497009277,0.004153822604905319,-0.011491930484771729,-0.005119717121124268,5
