method,repeat,batch_index,batch_size,runtime_sec,runtime_ms_per_image
U-Tikhonov T4/CG32,0,0,1,0.058934832995873876,58.934832995873876
U-Tikhonov T4/CG32,0,1,1,0.0588122079934692,58.8122079934692
U-Tikhonov T4/CG32,0,2,1,0.059887625000556,59.887625000556
U-Tikhonov T4/CG32,0,3,1,0.06168487499235198,61.68487499235198
U-Tikhonov T4/CG32,0,4,1,0.060097749999840744,60.097749999840744
U-Tikhonov T4/CG32,0,5,1,0.059269292003591545,59.269292003591545
U-Tikhonov T4/CG32,0,6,1,0.06081037501280662,60.81037501280662
U-Tikhonov T4/CG32,0,7,1,0.05881370800489094,58.81370800489094
U-Tikhonov T4/CG32,0,8,1,0.058199125007377006,58.199125007377006
U-Tikhonov T4/CG32,0,9,1,0.05905075000191573,59.05075000191573
U-Tikhonov T4/CG32,1,0,1,0.059388124995166436,59.388124995166436
U-Tikhonov T4/CG32,1,1,1,0.05907141699572094,59.07141699572094
U-Tikhonov T4/CG32,1,2,1,0.0597062089946121,59.7062089946121
U-Tikhonov T4/CG32,1,3,1,0.06123374999151565,61.23374999151565
U-Tikhonov T4/CG32,1,4,1,0.060058624992961995,60.058624992961995
U-Tikhonov T4/CG32,1,5,1,0.05926970900327433,59.26970900327433
U-Tikhonov T4/CG32,1,6,1,0.05914633300562855,59.14633300562855
U-Tikhonov T4/CG32,1,7,1,0.05944945800001733,59.44945800001733
U-Tikhonov T4/CG32,1,8,1,0.059707584005082026,59.707584005082026
U-Tikhonov T4/CG32,1,9,1,0.05976212500536349,59.76212500536349
U-Tikhonov T4/CG32,2,0,1,0.0596041250100825,59.6041250100825
U-Tikhonov T4/CG32,2,1,1,0.05930791699211113,59.30791699211113
U-Tikhonov T4/CG32,2,2,1,0.059538290995988064,59.53829099598806
U-Tikhonov T4/CG32,2,3,1,0.059900457999901846,59.900457999901846
U-Tikhonov T4/CG32,2,4,1,0.05953612498706207,59.53612498706207
