dataset,sigma,method,images,mse_mean,mse_std,mse_median,psnr_mean,psnr_std,psnr_median,ssim_mean,ssim_std,ssim_median
div2k,0.050000000745058,U-Tikhonov T16/CG32,100,0.000996368333580847,0.0004092572392461504,0.0009619579068384501,30.429544143676758,2.0172555967301,30.16848850250244,0.9328450405597687,0.04060744247489943,0.940172404050827
div2k,0.050000000745058,U-Tikhonov T16/CG64,100,0.001040123418788377,0.0004523306661134424,0.0009777528757694501,30.27200241088867,2.0713832305632,30.09772300720215,0.9304017627239227,0.041791033019855664,0.9387701749801636
div2k,0.050000000745058,U-Tikhonov T4/CG32,100,0.001013029426831002,0.00042014078409383,0.00096391022088935,30.349377517700194,1.9785501217530896,30.15970802307129,0.9324136459827423,0.038904675508244946,0.9389918148517609
div2k,0.050000000745058,U-Tikhonov T4/CG64,100,0.001011928449734063,0.00041807905489769096,0.0009555501164868,30.35275833129883,1.9787289759123496,30.197505950927734,0.9327558988332748,0.03875452227157288,0.9395385682582855
div2k,0.1000000014901161,U-Tikhonov T16/CG32,100,0.002289507578825526,0.0009995077942771494,0.0021624322980641503,26.825999717712403,1.9954187754319004,26.650611877441406,0.8632935720682144,0.06189722262196405,0.8764112293720245
div2k,0.1000000014901161,U-Tikhonov T16/CG64,100,0.002365311958128538,0.0010452697878559464,0.0022259186953306,26.691050472259523,2.0067147671679773,26.524909019470215,0.8592409759759903,0.06288524479228326,0.8731539845466614
div2k,0.1000000014901161,U-Tikhonov T4/CG32,100,0.002335372028173828,0.0010069409910462145,0.00219781091436735,26.72426076889038,1.949974586849872,26.580100059509277,0.8594501560926437,0.05707542505753122,0.8729612827301025
div2k,0.1000000014901161,U-Tikhonov T4/CG64,100,0.002360772087122261,0.0010231123620937919,0.0022327628685161003,26.67914882659912,1.9539597559626587,26.51165008544922,0.8582112538814545,0.05702215126784872,0.8722933530807495
div2k,0.1500000059604644,U-Tikhonov T16/CG32,100,0.003589648590423122,0.0015925260151637552,0.00334300438407805,24.853435935974122,1.9148684305993189,24.75863742828369,0.801931831240654,0.07609864420065206,0.8208281993865967
div2k,0.1500000059604644,U-Tikhonov T16/CG64,100,0.003682994866976462,0.0016538652985886517,0.00344217335805295,24.747576541900635,1.9238627666121428,24.631674766540527,0.7977003803849221,0.07603972836215614,0.8153502345085144
div2k,0.1500000059604644,U-Tikhonov T4/CG32,100,0.0036461423832224197,0.0015828765938576627,0.0034205820411443,24.76555233001709,1.8595776023795794,24.65908145904541,0.7945272219181061,0.06700658949930853,0.813677579164505
div2k,0.1500000059604644,U-Tikhonov T4/CG64,100,0.0037011135474312564,0.001629711862987903,0.0034665189450606,24.707487716674805,1.8740474010399484,24.601096153259277,0.7914639297127724,0.06769645353883386,0.8118950724601746
div2k,0.2000000029802322,U-Tikhonov T16/CG32,100,0.004959237023722335,0.0021642721001693143,0.0046221776865422,23.42290475845337,1.837474375317328,23.35153579711914,0.7483063879609108,0.08544845616081696,0.7647888958454132
div2k,0.2000000029802322,U-Tikhonov T16/CG64,100,0.005066919316304802,0.002273409828722178,0.0047008453402667995,23.339199352264405,1.8506239206135788,23.27824115753174,0.744013706445694,0.08487205958519838,0.7573866844177246
div2k,0.2000000029802322,U-Tikhonov T4/CG32,100,0.005030486659379623,0.0021511681147145414,0.0047177309170365,23.33995937347412,1.774397128467172,23.262672424316406,0.7364585837721824,0.07253632397088361,0.7575882971286774
div2k,0.2000000029802322,U-Tikhonov T4/CG64,100,0.005101117383455812,0.002221703224166723,0.0047508345451205,23.28786222457886,1.7923287606186327,23.232507705688477,0.7325813308358192,0.07359553813997396,0.7530083060264587
