benchmark_group,sigma,first_method,second_method,difference,metric,images,mean_difference,std_difference,median_difference,ci95_low,ci95_high,wins,ties,losses,win_percentage
div2k,0.05,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,PSNR,100,0.08016662597656228,0.12918269049070563,0.06238365173339666,0.05566350698471068,0.10571183872222878,76,0,24,76.0
div2k,0.05,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,SSIM,100,0.0004313945770263561,0.0032638743368771437,0.00031930208206171207,-0.00019676074385643335,0.0010608350783586297,57,0,43,57.0
div2k,0.05,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,PSNR,100,-0.08075592041015618,0.17908737349686096,-0.07535171508789062,-0.11618860673904417,-0.04627986526489267,25,0,75,25.0
div2k,0.05,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,SSIM,100,-0.0023541361093521018,0.005034869014240729,-0.0015864968299865168,-0.0033440416455268684,-0.0013978170901537033,26,0,74,26.0
div2k,0.05,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,PSNR,100,0.0033808135986326347,0.11656077750591011,0.010705947875976562,-0.018880914688110977,0.026880473613738805,56,0,44,56.0
div2k,0.05,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,SSIM,100,0.00034225285053251175,0.0014177389983159613,0.00023823976516729184,7.695104181763947e-05,0.0006289447695016518,59,0,41,59.0
div2k,0.05,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,PSNR,100,-0.15754173278808584,0.1398603815249421,-0.14310455322265625,-0.18626222896575906,-0.1318120760917664,3,0,97,3.0
div2k,0.05,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,SSIM,100,-0.002443277835845946,0.0024042506910582624,-0.0018616616725922186,-0.002929793938994415,-0.0020047981292009355,3,0,97,3.0
div2k,0.1,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,PSNR,100,0.10173894882202145,0.10855202245777136,0.08493232727050781,0.0806979131698606,0.12252537107467693,84,0,16,84.0
div2k,0.1,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,SSIM,100,0.0038434159755706774,0.008299674471555255,0.0014879703521728516,0.0023017692565917946,0.005506795495748525,69,0,31,69.0
div2k,0.1,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,PSNR,100,0.01190164566040007,0.11138221197774022,0.0037679672241210938,-0.009835697174072474,0.033984691143035525,52,0,48,52.0
div2k,0.1,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,SSIM,100,0.0010297220945358276,0.009215619640941707,-0.0003712773323059637,-0.000736284285783764,0.002869555443525315,44,0,56,44.0
div2k,0.1,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,PSNR,100,-0.04511194229125969,0.06394688986978041,-0.04056167602538707,-0.057600365638732595,-0.032626432895660515,18,0,82,18.0
div2k,0.1,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,SSIM,100,-0.0012389022111892701,0.0017585024730133298,-0.0011549592018127441,-0.0015784676671028127,-0.0008998197913169936,23,0,77,23.0
div2k,0.1,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,PSNR,100,-0.13494924545288106,0.08607911188249305,-0.1247720718383789,-0.15214703083038358,-0.11834664583206181,2,0,98,2.0
div2k,0.1,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,SSIM,100,-0.00405259609222412,0.002537616530171412,-0.003560096025466919,-0.004555228397250172,-0.003567347690463063,2,0,98,2.0
div2k,0.15,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,PSNR,100,0.0878836059570315,0.1086484011800074,0.07226181030273438,0.06687260437011758,0.10873457145690944,81,0,19,81.0
div2k,0.15,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,SSIM,100,0.0074046093225479115,0.01579872171228132,0.0029967129230499268,0.004413559049367905,0.010570378586649895,67,0,33,67.0
div2k,0.15,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,PSNR,100,0.04008882522583022,0.08970074164640601,0.028152465820310724,0.02288835859298735,0.05801415109634413,71,0,29,71.0
div2k,0.15,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,SSIM,100,0.006236450672149659,0.015096370122845662,0.0019114017486572266,0.0033911470323801044,0.009314070597290995,63,0,37,63.0
div2k,0.15,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,PSNR,100,-0.05806461334228505,0.04978957325494255,-0.05665302276611328,-0.06795080900192269,-0.048555700302124125,11,0,89,11.0
div2k,0.15,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,SSIM,100,-0.0030632922053337097,0.0027829804148545418,-0.0030183792114257812,-0.0036122590750455857,-0.0025340791642665863,10,0,90,10.0
div2k,0.15,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,PSNR,100,-0.10585939407348632,0.06767227791601205,-0.1020965576171875,-0.11942678022384672,-0.09286414051055915,4,0,96,4.0
div2k,0.15,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,SSIM,100,-0.004231450855731961,0.0030202584783371035,-0.004274249076843262,-0.004836080178618426,-0.0036546099558472612,6,0,94,6.0
div2k,0.2,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,PSNR,100,0.08294538497924797,0.10839934036160179,0.060843467712402344,0.062196054935455325,0.10448971509933422,81,0,19,81.0
div2k,0.2,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,SSIM,100,0.01184780418872833,0.023043462083958514,0.005773365497589111,0.007494958274066449,0.01646587152034044,69,0,31,69.0
div2k,0.2,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,PSNR,100,0.05133712768554695,0.08941076609538301,0.035878181457523084,0.034465391159057446,0.06938933134079009,76,0,24,76.0
