benchmark_group,sample_id,dataset,image_name,sigma,first_method,second_method,metric,difference
div2k,div2k/0801.png/sigma_0.050,div2k,0801.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,0.05858612060546875
div2k,div2k/0802.png/sigma_0.050,div2k,0802.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,0.5578804016113281
div2k,div2k/0803.png/sigma_0.050,div2k,0803.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,0.13544082641601562
div2k,div2k/0804.png/sigma_0.050,div2k,0804.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,0.1410083770751953
div2k,div2k/0805.png/sigma_0.050,div2k,0805.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,0.14229202270507812
div2k,div2k/0806.png/sigma_0.050,div2k,0806.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,-0.04159355163574219
div2k,div2k/0807.png/sigma_0.050,div2k,0807.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,-0.11338424682617188
div2k,div2k/0808.png/sigma_0.050,div2k,0808.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,0.1013641357421875
div2k,div2k/0809.png/sigma_0.050,div2k,0809.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,0.0185394287109375
div2k,div2k/0810.png/sigma_0.050,div2k,0810.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,-0.04082679748535156
div2k,div2k/0811.png/sigma_0.050,div2k,0811.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,-0.055263519287109375
div2k,div2k/0812.png/sigma_0.050,div2k,0812.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,-0.0074672698974609375
div2k,div2k/0813.png/sigma_0.050,div2k,0813.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,0.10522651672363281
div2k,div2k/0814.png/sigma_0.050,div2k,0814.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,0.3285675048828125
div2k,div2k/0815.png/sigma_0.050,div2k,0815.png,0.05000000074505806,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,PSNR,0.14948272705078125
