method,idx,base_idx,crop_id,path,sample_id,dataset,image_name,noise_seed,clean_sha256,noisy_sha256,sigma,noisy_mse,noisy_psnr,noisy_ssim,recon_mse,recon_psnr,recon_ssim,lambda_mean,lambda_std,lambda_min,lambda_max,lambda_p01,lambda_median,lambda_p99,lambda_lower_saturation_fraction,lambda_upper_saturation_fraction
U-Tikhonov T4/CG64,0,0,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0801.png,div2k/0801.png/sigma_0.050,div2k,0801.png,20000,9ca598cce3296c3968a2f8f7685477f637dbdbbb9d4efb1cd418ca185bd31eef,23816f670e12ef763ffa26e17d479c22563b12b91b944922e6e872ff0e91ddd9,0.05000000074505806,0.002490886254236102,26.036462783813477,0.8823994398117065,0.0013537566410377622,28.684595108032227,0.9318225383758545,0.6051554083824158,1.0015981197357178,0.0007056486792862415,8.320300102233887,0.011060429736971855,0.27982890605926514,5.6602559089660645,0.1602020263671875,0.000518798828125
U-Tikhonov T4/CG64,1,1,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0802.png,div2k/0802.png/sigma_0.050,div2k,0802.png,20001,3177c80331fb32ceee70ac3ef64d2e56a1bce05ea8a9c0b664e2592552554742,d7445e9bbede99adf4b19b227f2355615e482ee7cff23a13638b786e6b30c394,0.05000000074505806,0.002405831590294838,26.187347412109375,0.9328572154045105,0.0009247642592526972,30.339691162109375,0.9739389419555664,0.5841805934906006,1.1398956775665283,0.0007112605962902308,8.320335388183594,0.010012287646532059,0.24292461574077606,7.150411128997803,0.18267822265625,0.0025787353515625
U-Tikhonov T4/CG64,2,2,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0803.png,div2k/0803.png/sigma_0.050,div2k,0803.png,20002,671a4205d217354c075117f716a83d9a5ef2b4c921475de333f15ac8882c9356,b5a7166a3bd623d88ad5e32920e020aa9881a7f9602b957908661d9ad5911f05,0.05000000074505806,0.002532033249735832,25.965307235717773,0.7820858955383301,0.0005550039932131767,32.557037353515625,0.9570419788360596,1.5086371898651123,1.6850186586380005,0.000228442921070382,8.320334434509277,0.012344113551080227,0.9392322301864624,7.85476541519165,0.079833984375,0.0030517578125
U-Tikhonov T4/CG64,3,3,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0804.png,div2k/0804.png/sigma_0.050,div2k,0804.png,20003,f95563d4b6e58b102c165eeec7f7e1ba2608e12c3a331510949f0cce842149ea,8156d77cd656fb19dfebf51512b4d5696d40aeafb0bde5085e54bd36695252c2,0.05000000074505806,0.00246782717294991,26.076852798461914,0.8910704851150513,0.0011524702422320843,29.383705139160156,0.9503606557846069,1.0486184358596802,1.9811052083969116,0.00035480278893373907,8.320335388183594,0.0065356167033314705,0.2897852063179016,8.320332527160645,0.20599365234375,0.03594970703125
U-Tikhonov T4/CG64,4,4,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0805.png,div2k/0805.png/sigma_0.050,div2k,0805.png,20004,bac34b49da4033070da28c152ece5c527c7274eafed4e320f3e7258274a93177,d733ca341fa83d639b60a0d5d843dcd82077f7873c9129c0080f5cd10352a039,0.05000000074505806,0.002380685182288289,26.232982635498047,0.8473595976829529,0.0010910655837506056,29.621490478515625,0.9191029071807861,0.9104381799697876,1.2543118000030518,0.0004717283300124109,8.320333480834961,0.017059989273548126,0.46853333711624146,6.974036693572998,0.091156005859375,0.0016937255859375
U-Tikhonov T4/CG64,5,5,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0806.png,div2k/0806.png/sigma_0.050,div2k,0806.png,20005,befc31ea0c7663db0351a7238adfea3153639f5dfa13cb7cacfd757a46539d49,f1db7de87fc069e24df1302f21e8934d1fe35cda4374b9a2915d579081ffa22f,0.05000000074505806,0.002493798965588212,26.031387329101562,0.7556111812591553,0.0006770012550987303,31.69410514831543,0.9435440897941589,2.2253851890563965,2.451859474182129,0.0008856184431351721,8.320330619812012,0.01873401179909706,1.224776029586792,8.310354232788086,0.062530517578125,0.0288238525390625
U-Tikhonov T4/CG64,6,6,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0807.png,div2k/0807.png/sigma_0.050,div2k,0807.png,20006,1e941eaeed69e78250491fe2c5b2f458f2f36301b8aa701227bd408f852fa572,1472dc7dc1cc2319794d51c25542091f03a175962d768447565a84affad77cfd,0.05000000074505806,0.002496341709047556,26.026958465576172,0.8193234205245972,0.0013757619308307767,28.614566802978516,0.9133020639419556,1.4301927089691162,2.054966926574707,0.0005782977095805109,8.320335388183594,0.015917008742690086,0.5028324723243713,8.285706520080566,0.100433349609375,0.0147705078125
U-Tikhonov T4/CG64,7,7,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0808.png,div2k/0808.png/sigma_0.050,div2k,0808.png,20007,9666b1dba93f470d95570471f38f195acafae585deefb8498b5ebb625df94e78,d66335dc80e7b4534f5e2fb398b20473ab46ef15dfb587f54f4af7a3bb09f04b,0.05000000074505806,0.002448369050398469,26.111230850219727,0.619567334651947,0.0006483566830866039,31.88186264038086,0.9511386156082153,4.424300670623779,3.4736011028289795,0.0001413430436514318,8.320335388183594,0.015654565766453743,4.889336585998535,8.3203125,0.0626678466796875,0.2100982666015625
U-Tikhonov T4/CG64,8,8,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0809.png,div2k/0809.png/sigma_0.050,div2k,0809.png,20008,f57d7f591d2770efb0162e925acaaef8e4ce467e58b7a54d53de058959be9978,8903d3b02e67898ce2ed33bc80a2e01b939b43396cb49d7dd57604d18f78a597,0.05000000074505806,0.002490770537406206,26.036663055419922,0.8125088214874268,0.000977206276729703,30.10013771057129,0.8994973301887512,0.8531594276428223,1.2028027772903442,0.0017936741933226585,8.320160865783691,0.023091347888112068,0.4152970314025879,6.525746822357178,0.081207275390625,0.0008697509765625
U-Tikhonov T4/CG64,9,9,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0810.png,div2k/0810.png/sigma_0.050,div2k,0810.png,20009,50cf8d799292c4a6f6c23b4a8f1d0c08015da9c6e74d9109a31efdb1eb5d9df3,dcf29b2f5a250c88dd457f9bb2447b76c18db7a9927223d0768af7ff6648da6b,0.05000000074505806,0.002494839718565345,26.02957534790039,0.753049373626709,0.0008312780410051346,30.80253791809082,0.9228602647781372,1.5836408138275146,1.809611439704895,0.0008661155006848276,8.320322036743164,0.027580756694078445,0.835020899772644,7.941908359527588,0.050994873046875,0.0039825439453125
U-Tikhonov T4/CG64,10,10,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0811.png,div2k/0811.png/sigma_0.050,div2k,0811.png,20010,ceab700e5944238d72f4ec94852a5ee6b9c353c54281c96ee7c6e9b9f2a16308,f3793a053731a43e46584eff4ba09ac27005d714369da0431660236cc1f7603d,0.05000000074505806,0.0023965993896126747,26.204044342041016,0.7875660061836243,0.0010321098379790783,29.862743377685547,0.8936828970909119,1.526602029800415,2.134760618209839,0.000656571239233017,8.320335388183594,0.02313009463250637,0.5786134004592896,8.304096221923828,0.074920654296875,0.019561767578125
U-Tikhonov T4/CG64,11,11,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0812.png,div2k/0812.png/sigma_0.050,div2k,0812.png,20011,5f26939fc07611061a96f2a386a77ffd9251b83abf26ac7ecb5a44dcae97187b,919cc1a5d8a61b4c91c622ef576f74f9f44f8fb13fda2e0dfc41f0b357ad5295,0.05000000074505806,0.0024693645536899567,26.07415008544922,0.7905488014221191,0.0009697054047137499,30.133602142333984,0.9475363492965698,2.2092528343200684,2.9457504749298096,0.0004572701291181147,8.320335388183594,0.008437326177954674,0.6018680334091187,8.320002555847168,0.1434783935546875,0.0874786376953125
U-Tikhonov T4/CG64,12,12,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0813.png,div2k/0813.png/sigma_0.050,div2k,0813.png,20012,c34023db0a8b05fd8269a4d5afeb83670d5b08e7bce8d6c8cfe221a95b0e0b2f,09da1827ff8433374734cdb652e7754e505be3746d2bd8f568a47a328f217e48,0.05000000074505806,0.0023902326356619596,26.215599060058594,0.78742915391922,0.000861748936586082,30.64619255065918,0.947962760925293,2.2098729610443115,2.7761118412017822,0.0003684656403493136,8.320335388183594,0.008916541934013367,0.8190064430236816,8.320197105407715,0.126617431640625,0.0618743896484375
